symbol,observations,average_rank,average_score,priority_pct,secondary_pct,suppressed_pct,moving_pct,developing_pct,range_bound_pct,neutral_pct,top25_pct,top50_pct
ABB,60,38.9333,13.4778,11.6667,5.0,83.3333,13.3333,15.0,16.6667,55.0,30.0,66.6667
ALKEM,55,36.5636,13.2862,14.5455,5.4545,80.0,14.5455,16.3636,32.7273,36.3636,34.5455,70.9091
AMBER,60,44.7167,10.8327,13.3333,6.6667,80.0,15.0,8.3333,48.3333,28.3333,25.0,51.6667
ANGELONE,60,41.6,11.3245,10.0,5.0,85.0,11.6667,5.0,40.0,43.3333,21.6667,61.6667
APLAPOLLO,60,30.85,22.1887,31.6667,10.0,58.3333,31.6667,11.6667,35.0,21.6667,46.6667,75.0
ASIANPAINT,60,44.5167,11.231,11.6667,6.6667,81.6667,15.0,8.3333,0.0,76.6667,23.3333,63.3333
ASTRAL,60,33.9333,17.5503,15.0,15.0,70.0,18.3333,20.0,10.0,51.6667,43.3333,75.0
AUBANK,54,43.2407,11.4298,9.2593,7.4074,83.3333,9.2593,14.8148,40.7407,35.1852,33.3333,55.5556
AUROPHARMA,55,33.6909,17.7444,21.8182,5.4545,72.7273,21.8182,12.7273,29.0909,36.3636,47.2727,69.0909
AXISBANK,60,59.3333,3.9185,1.6667,5.0,93.3333,5.0,3.3333,75.0,16.6667,3.3333,30.0
BAJAJFINSV,60,28.6333,21.0693,25.0,8.3333,66.6667,26.6667,11.6667,36.6667,25.0,50.0,88.3333
BAJFINANCE,60,21.8167,28.3145,33.3333,10.0,56.6667,33.3333,16.6667,31.6667,18.3333,66.6667,86.6667
BANKBARODA,60,47.3333,10.4949,11.6667,5.0,83.3333,13.3333,5.0,53.3333,28.3333,20.0,51.6667
BEL,60,44.1,8.5048,5.0,1.6667,93.3333,6.6667,1.6667,55.0,36.6667,20.0,56.6667
BHARATFORG,60,44.4333,9.504,5.0,5.0,90.0,6.6667,8.3333,35.0,50.0,21.6667,58.3333
BHARTIARTL,60,50.35,7.869,8.3333,1.6667,90.0,10.0,1.6667,83.3333,5.0,16.6667,41.6667
BHEL,60,45.0,8.3037,3.3333,5.0,91.6667,5.0,10.0,45.0,40.0,16.6667,55.0
BIOCON,54,52.5556,6.6807,3.7037,5.5556,90.7407,3.7037,5.5556,48.1481,42.5926,16.6667,38.8889
BRITANNIA,60,37.6,16.0702,13.3333,10.0,76.6667,16.6667,8.3333,70.0,5.0,33.3333,71.6667
CAMS,60,42.5,12.3425,11.6667,1.6667,86.6667,11.6667,8.3333,15.0,65.0,30.0,58.3333
CGPOWER,60,32.0167,16.8768,13.3333,6.6667,80.0,15.0,8.3333,58.3333,18.3333,41.6667,86.6667
CHOLAFIN,60,27.6667,22.8798,23.3333,18.3333,58.3333,28.3333,18.3333,0.0,53.3333,46.6667,86.6667
COALINDIA,60,55.0667,4.9847,5.0,3.3333,91.6667,6.6667,1.6667,83.3333,8.3333,11.6667,28.3333
COFORGE,60,39.55,13.3618,11.6667,5.0,83.3333,13.3333,8.3333,55.0,23.3333,30.0,70.0
COLPAL,60,43.9,9.9399,6.6667,3.3333,90.0,6.6667,3.3333,81.6667,8.3333,18.3333,60.0
DABUR,60,49.65,9.7626,10.0,0.0,90.0,10.0,3.3333,43.3333,43.3333,23.3333,46.6667
DIVISLAB,60,38.7,11.2908,6.6667,5.0,88.3333,8.3333,10.0,41.6667,40.0,31.6667,65.0
DMART,60,49.1833,7.1772,6.6667,6.6667,86.6667,8.3333,6.6667,35.0,50.0,16.6667,46.6667
EICHERMOT,60,44.8667,9.7512,6.6667,10.0,83.3333,8.3333,13.3333,15.0,63.3333,20.0,55.0
EXIDEIND,60,30.9167,20.5495,20.0,13.3333,66.6667,20.0,16.6667,11.6667,51.6667,43.3333,81.6667
FORCEMOT,60,36.1,16.2768,15.0,5.0,80.0,15.0,13.3333,50.0,21.6667,40.0,66.6667
FORTIS,54,43.8148,10.7585,14.8148,1.8519,83.3333,14.8148,7.4074,5.5556,72.2222,29.6296,57.4074
GLENMARK,60,36.7333,13.5063,8.3333,10.0,81.6667,11.6667,11.6667,30.0,46.6667,35.0,73.3333
GVT&D,60,47.7167,7.3463,3.3333,0.0,96.6667,3.3333,5.0,60.0,31.6667,16.6667,53.3333
HAL,60,53.2333,8.725,11.6667,1.6667,86.6667,11.6667,3.3333,28.3333,56.6667,18.3333,40.0
HAVELLS,60,47.65,8.7503,8.3333,5.0,86.6667,8.3333,6.6667,6.6667,78.3333,20.0,51.6667
