symbol,observations,average_rank,average_score,priority_pct,secondary_pct,suppressed_pct,moving_pct,developing_pct,range_bound_pct,neutral_pct,top25_pct,top50_pct
HCLTECH,60,26.15,25.1523,31.6667,5.0,63.3333,31.6667,6.6667,51.6667,10.0,55.0,83.3333
HDFCBANK,60,45.3333,9.5138,8.3333,8.3333,83.3333,8.3333,11.6667,13.3333,66.6667,20.0,60.0
HEROMOTOCO,60,46.1167,12.4081,11.6667,8.3333,80.0,16.6667,5.0,13.3333,65.0,21.6667,48.3333
HINDALCO,60,42.2333,15.2443,16.6667,6.6667,76.6667,20.0,5.0,65.0,10.0,31.6667,56.6667
HYUNDAI,60,27.0167,22.995,25.0,10.0,65.0,25.0,16.6667,38.3333,20.0,56.6667,83.3333
ICICIBANK,60,49.35,7.9068,5.0,8.3333,86.6667,6.6667,11.6667,18.3333,63.3333,18.3333,45.0
INDUSTOWER,60,29.2333,22.9899,26.6667,15.0,58.3333,30.0,16.6667,1.6667,51.6667,51.6667,78.3333
INFY,60,35.6333,19.1394,26.6667,3.3333,70.0,26.6667,6.6667,56.6667,10.0,41.6667,68.3333
JINDALSTEL,60,41.7,11.9316,8.3333,5.0,86.6667,8.3333,15.0,30.0,46.6667,23.3333,65.0
JUBLFOOD,60,35.1167,15.757,15.0,10.0,75.0,18.3333,6.6667,36.6667,38.3333,40.0,73.3333
KALYANKJIL,60,29.1667,18.0471,18.3333,6.6667,75.0,18.3333,15.0,5.0,61.6667,40.0,88.3333
KOTAKBANK,60,58.9,5.1251,3.3333,3.3333,93.3333,3.3333,5.0,75.0,16.6667,11.6667,23.3333
LICHSGFIN,60,34.0167,17.7461,16.6667,5.0,78.3333,16.6667,10.0,25.0,48.3333,36.6667,71.6667
LODHA,60,29.6667,24.9808,28.3333,3.3333,68.3333,30.0,15.0,31.6667,23.3333,56.6667,78.3333
LTF,60,36.3,13.5705,13.3333,8.3333,78.3333,15.0,10.0,8.3333,66.6667,30.0,78.3333
LTM,60,54.4167,5.2437,0.0,6.6667,93.3333,5.0,3.3333,78.3333,13.3333,3.3333,41.6667
M&M,60,24.0,27.3385,30.0,11.6667,58.3333,31.6667,13.3333,33.3333,21.6667,60.0,85.0
MANAPPURAM,60,36.5167,15.6444,11.6667,11.6667,76.6667,15.0,16.6667,16.6667,51.6667,45.0,66.6667
MANKIND,60,26.3167,24.0719,25.0,20.0,55.0,26.6667,25.0,31.6667,16.6667,63.3333,80.0
MARUTI,60,52.1833,7.3302,5.0,6.6667,88.3333,8.3333,6.6667,3.3333,81.6667,11.6667,40.0
MAZDOCK,60,45.4167,9.5184,8.3333,5.0,86.6667,8.3333,8.3333,1.6667,81.6667,20.0,53.3333
MPHASIS,60,36.7,16.455,16.6667,16.6667,66.6667,20.0,16.6667,25.0,38.3333,41.6667,66.6667
MUTHOOTFIN,60,30.0667,20.688,18.3333,23.3333,58.3333,20.0,25.0,10.0,45.0,46.6667,78.3333
NIFTY 50,60,54.9667,7.2786,3.3333,8.3333,88.3333,5.0,13.3333,23.3333,58.3333,21.6667,38.3333
NIFTY BANK,60,62.8,4.4009,5.0,1.6667,93.3333,5.0,6.6667,56.6667,31.6667,6.6667,20.0
OFSS,60,33.7,19.6819,28.3333,5.0,66.6667,28.3333,8.3333,15.0,48.3333,40.0,75.0
PAYTM,60,36.3333,15.3578,11.6667,15.0,73.3333,15.0,11.6667,6.6667,66.6667,35.0,76.6667
PERSISTENT,60,26.3667,22.7748,23.3333,11.6667,65.0,23.3333,23.3333,18.3333,35.0,60.0,88.3333
POLYCAB,60,36.0333,14.6808,18.3333,6.6667,75.0,20.0,10.0,1.6667,68.3333,30.0,75.0
POWERINDIA,60,44.05,9.4649,5.0,5.0,90.0,8.3333,3.3333,81.6667,6.6667,20.0,56.6667
PREMIERENE,60,34.1667,23.3795,33.3333,11.6667,55.0,35.0,11.6667,0.0,53.3333,43.3333,66.6667
PRESTIGE,60,45.3333,10.68,10.0,6.6667,83.3333,11.6667,8.3333,38.3333,41.6667,20.0,55.0
RADICO,60,39.9333,12.9994,10.0,6.6667,83.3333,11.6667,11.6667,15.0,61.6667,30.0,63.3333
SBIN,60,53.1167,6.6317,1.6667,5.0,93.3333,3.3333,5.0,48.3333,43.3333,11.6667,43.3333
SHRIRAMFIN,60,37.65,12.2107,10.0,5.0,85.0,11.6667,8.3333,18.3333,61.6667,30.0,70.0
SIEMENS,60,30.5667,23.0534,31.6667,8.3333,60.0,33.3333,8.3333,8.3333,50.0,50.0,76.6667
SUNPHARMA,60,34.95,19.5792,28.3333,8.3333,63.3333,28.3333,15.0,8.3333,48.3333,50.0,66.6667
TATAELXSI,60,38.7833,14.1893,18.3333,5.0,76.6667,20.0,10.0,15.0,55.0,28.3333,71.6667
TCS,60,42.95,11.6959,11.6667,3.3333,85.0,11.6667,11.6667,66.6667,10.0,23.3333,56.6667
TECHM,60,32.1333,19.5961,25.0,5.0,70.0,25.0,6.6667,60.0,8.3333,46.6667,81.6667
TORNTPHARM,60,34.8167,17.2384,21.6667,6.6667,71.6667,23.3333,6.6667,41.6667,28.3333,35.0,73.3333
TVSMOTOR,60,35.1333,17.9788,20.0,11.6667,68.3333,23.3333,10.0,11.6667,55.0,36.6667,70.0
UPL,60,57.7333,2.4722,0.0,0.0,100.0,0.0,5.0,86.6667,8.3333,3.3333,30.0
VEDL,60,41.8333,11.1126,8.3333,3.3333,88.3333,10.0,6.6667,21.6667,61.6667,23.3333,63.3333
