run_id,trading_day,rank_time,symbol,rank_position,universe_size,direction,classification,attention_tier,total_score,movement_score,quality_score,range_penalty,stall_penalty,close_price,previous_close,today_open,gap_pct,session_move_pct,post_open_move_pct,move_15m_pct,move_30m_pct,move_60m_pct,move_15m_atr,move_30m_atr,move_60m_atr,atr_value,atr_pct,directional_efficiency,recent_efficiency,direction_consistency,acceleration_score,volume_ratio,freshness_score,bars_since_extreme,range_active,range_episode_id,range_id,range_age_bars,range_width_pct,containment_ratio,midpoint_crossings,vwap_crossings,failed_escape_count,rearm_required,attempt_limit_reached
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,CAMS,1,75,UP,MOVING_UP,PRIORITY,90.0815,94.5213,100.0,12.1667,0.0,800.45,793.4,793.15,-0.03151,0.920381,0.920381,1.451204,0.920381,0.920381,5.144864,3.280132,3.280132,2.225521,0.278034,1.0,1.0,1.0,1.0,2.645242,1.0,0,True,,ORB:2026-07-31,6,1.706818,,1,1,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,BAJFINANCE,2,75,UP,MOVING_UP,PRIORITY,90.0361,94.3139,97.757,10.6215,0.0,1114.2,1057.0,1095.0,3.59508,1.753425,1.753425,1.846435,1.753425,1.753425,2.719124,2.584514,2.584514,7.428864,0.666744,0.943925,0.943925,1.0,1.0,1.077379,1.0,0,True,,ORB:2026-07-31,6,2.847396,,1,0,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,COLPAL,3,75,DOWN,MOVING_DOWN,PRIORITY,89.3791,92.5956,91.8738,6.0,0.0,2058.0,2085.0,2109.5,1.17506,-2.441337,-2.441337,-1.133743,-2.441337,-2.441337,-3.956635,-8.634182,-8.634182,5.964665,0.289828,1.0,1.0,1.0,0.458252,0.961528,1.0,0,True,,ORB:2026-07-31,6,2.131992,,0,0,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,DABUR,4,75,DOWN,MOVING_DOWN,PRIORITY,89.0896,93.7041,94.1558,9.5,0.0,421.3,427.0,429.0,0.468384,-1.794872,-1.794872,-1.103286,-1.794872,-1.794872,-3.755868,-6.15323,-6.15323,1.251375,0.297027,1.0,1.0,1.0,0.61039,1.215578,1.0,0,True,,ORB:2026-07-31,6,2.009519,,1,0,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,ANGELONE,5,75,UP,MOVING_UP,PRIORITY,86.013,88.0543,91.25,6.0,0.0,297.2,291.95,293.0,0.359651,1.433447,1.433447,0.592317,1.433447,1.433447,1.983807,4.761136,4.761136,0.882142,0.296818,1.0,1.0,1.0,0.416667,0.455124,1.0,0,True,,ORB:2026-07-31,6,1.56038,,0,0,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,TECHM,6,75,UP,MOVING_UP,PRIORITY,84.4268,88.9041,92.9283,11.3692,0.0,1647.0,1661.4,1620.0,-2.491874,1.666667,1.666667,1.291513,1.666667,1.666667,3.207001,4.123287,4.123287,6.548174,0.397582,0.906542,0.906542,1.0,0.777778,0.313252,1.0,0,True,,ORB:2026-07-31,6,2.198477,,1,0,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,LICHSGFIN,7,75,DOWN,MOVING_DOWN,PRIORITY,80.7412,88.8775,80.7919,8.6087,5.625,523.35,541.2,537.5,-0.683666,-2.632558,-2.632558,-0.739687,-2.632558,-2.632558,-1.842695,-6.685677,-6.685677,2.116465,0.404407,0.869565,0.869565,1.0,0.275618,1.205397,0.875,1,True,,ORB:2026-07-31,6,3.388554,,0,0,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,SHRIRAMFIN,8,75,UP,MOVING_UP,PRIORITY,80.3968,89.1464,83.1674,13.9118,0.0,1051.3,1028.8,1029.2,0.03888,2.147299,2.147299,0.989433,2.147299,2.147299,3.826008,8.209202,8.209202,2.692101,0.256074,0.779412,0.779412,1.0,0.466063,1.08016,1.0,0,True,,ORB:2026-07-31,6,2.25777,,1,0,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,OFSS,9,75,UP,MOVING_UP,PRIORITY,79.3067,79.1286,100.0,12.1667,0.0,11132.0,11155.0,11100.0,-0.493052,0.288288,0.288288,1.904064,0.288288,0.288288,4.538282,0.698197,0.698197,45.832321,0.411717,1.0,1.0,1.0,1.0,1.375793,1.0,0,True,,ORB:2026-07-31,6,2.109474,,1,1,0,False,False
STOCK_RANK:20260731T093000,2026-07-31,2026-07-31 09:30:00,SIEMENS,10,75,UP,MOVING_UP,PRIORITY,78.8873,89.708,76.1459,13.504,0.0,3751.8,3660.9,3662.1,0.032779,2.449414,2.449414,0.990579,2.449414,2.449414,2.720502,6.631224,6.631224,13.526915,0.360545,0.624801,0.624801,1.0,0.410256,2.253815,1.0,0,True,,ORB:2026-07-31,6,2.318457,,0,0,0,False,False
