run_id,trading_day,rank_time,symbol,rank_position,universe_size,direction,classification,attention_tier,total_score,movement_score,quality_score,range_penalty,stall_penalty,close_price,previous_close,today_open,gap_pct,session_move_pct,post_open_move_pct,move_15m_pct,move_30m_pct,move_60m_pct,move_15m_atr,move_30m_atr,move_60m_atr,atr_value,atr_pct,directional_efficiency,recent_efficiency,direction_consistency,acceleration_score,volume_ratio,freshness_score,bars_since_extreme,range_active,range_episode_id,range_id,range_age_bars,range_width_pct,containment_ratio,midpoint_crossings,vwap_crossings,failed_escape_count,rearm_required,attempt_limit_reached
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,BPCL,12,100,DOWN,MOVING_DOWN,PRIORITY,76.6566,82.0391,93.75,12.1667,11.25,322.75,320.0,324.75,1.484375,-0.615858,-0.615858,-0.76864,-0.615858,-0.615858,-2.477671,-1.982137,-1.982137,1.009012,0.31263,1.0,1.0,1.0,1.0,0.520063,0.75,2,True,,ORB:2026-08-03,6,1.432201,,1,1,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,POLICYBZR,13,100,UP,MOVING_UP,PRIORITY,76.1004,81.1096,86.6018,13.3138,0.0,1619.2,1602.0,1607.0,0.31211,0.759179,0.759179,0.533962,0.759179,0.759179,2.538176,3.600668,3.600668,3.38826,0.209255,0.775701,0.775701,1.0,0.704918,0.500344,1.0,0,True,,ORB:2026-08-03,6,0.938967,,0,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,ABCAPITAL,14,100,UP,MOVING_UP,PRIORITY,75.5179,86.0198,76.0139,12.1878,5.625,423.7,405.0,410.0,1.234568,3.341463,3.341463,1.424297,3.341463,3.341463,2.267509,5.220986,5.220986,2.624025,0.619312,0.690608,0.690608,1.0,0.434307,1.058245,0.875,1,True,,ORB:2026-08-03,6,3.498682,,0,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,ICICIGI,15,100,UP,MOVING_UP,PRIORITY,72.341,84.2934,82.8298,23.0267,0.0,1655.3,1627.0,1632.7,0.350338,1.38421,1.38421,0.877567,1.38421,1.38421,3.408673,5.349723,5.349723,4.224518,0.255212,0.706806,0.706806,1.0,0.637168,0.552765,1.0,0,True,,ORB:2026-08-03,6,1.13882,,3,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,HINDPETRO,16,100,DOWN,MOVING_DOWN,PRIORITY,71.4915,78.0679,89.6822,14.4964,11.25,395.0,389.5,396.9,1.899872,-0.47871,-0.47871,-0.653924,-0.47871,-0.47871,-2.371891,-1.733305,-1.733305,1.096172,0.277512,0.898305,0.898305,1.0,1.0,0.572743,0.75,2,True,,ORB:2026-08-03,6,1.172688,,1,1,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,ADANIGREEN,17,100,UP,MOVING_UP,PRIORITY,71.044,83.6103,74.3644,16.7727,5.625,1415.8,1378.5,1390.0,0.83424,1.856115,1.856115,0.862008,1.856115,1.856115,2.191546,4.672884,4.672884,5.521215,0.389971,0.636364,0.636364,1.0,0.468992,0.791846,0.875,1,True,,ORB:2026-08-03,6,2.792482,,1,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,DELHIVERY,18,100,DOWN,MOVING_DOWN,PRIORITY,70.9475,82.7767,75.7092,16.6053,5.625,479.0,480.7,487.95,1.508217,-1.834204,-1.834204,-0.992146,-1.834204,-1.834204,-2.188209,-4.080098,-4.080098,2.193575,0.457949,0.644737,0.644737,1.0,0.536313,0.466682,0.875,1,True,,ORB:2026-08-03,6,2.259067,,1,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,HINDZINC,19,100,DOWN,MOVING_DOWN,PRIORITY,69.6921,74.4573,92.8571,20.5703,0.0,541.6,539.25,543.6,0.806676,-0.367918,-0.367918,-0.422872,-0.367918,-0.367918,-1.730662,-1.504924,-1.504924,1.328971,0.245379,0.821429,0.821429,1.0,1.0,0.247702,1.0,0,True,,ORB:2026-08-03,6,0.753954,,1,1,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,PNBHOUSING,20,100,UP,MOVING_UP,PRIORITY,69.6792,79.3404,86.1654,23.4173,0.0,1064.6,1051.9,1057.0,0.484837,0.719016,0.719016,0.967375,0.719016,0.719016,3.002905,2.237459,2.237459,3.39671,0.31906,0.654135,0.654135,1.0,1.0,0.334597,1.0,0,True,,ORB:2026-08-03,6,1.202595,,3,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,NATIONALUM,21,100,DOWN,MOVING_DOWN,PRIORITY,67.8026,78.7562,69.7307,16.4918,0.0,353.75,350.5,357.95,2.125535,-1.173348,-1.173348,-0.45026,-1.173348,-1.173348,-1.076045,-2.824619,-2.824619,1.486926,0.420333,0.47541,0.47541,1.0,0.380952,1.118591,1.0,0,True,,ORB:2026-08-03,6,2.208863,,0,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,GODFRYPHLP,22,100,UP,MOVING_UP,PRIORITY,67.0948,83.0459,64.4025,17.9037,5.625,2186.0,2130.0,2144.8,0.694836,1.920925,1.920925,0.802361,1.920925,1.920925,1.853503,4.388755,4.388755,9.387628,0.429443,0.404814,0.404814,1.0,0.42233,1.697884,0.875,1,True,,ORB:2026-08-03,6,2.808833,,0,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,MCX,23,100,DOWN,MOVING_DOWN,PRIORITY,65.8097,80.7113,70.6395,18.1352,11.25,2662.5,2692.3,2700.0,0.286001,-1.388889,-1.388889,-0.852759,-1.388889,-1.388889,-2.768777,-4.534024,-4.534024,8.270799,0.31064,0.568238,0.568238,1.0,0.610667,0.94086,0.75,2,True,,ORB:2026-08-03,6,2.04656,,1,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,HCLTECH,24,100,DOWN,MOVING_DOWN,PRIORITY,65.3797,73.0183,85.66,20.0497,5.625,1347.7,1345.7,1352.0,0.468158,-0.318047,-0.318047,-0.538745,-0.318047,-0.318047,-2.224294,-1.310201,-1.310201,3.28194,0.243522,0.719626,0.719626,1.0,1.0,0.548249,0.875,1,True,,ORB:2026-08-03,6,0.989953,,1,1,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,ICICIBANK,25,100,UP,MOVING_UP,PRIORITY,65.3628,72.4785,88.0357,17.9407,11.25,1445.8,1433.9,1442.0,0.564893,0.263523,0.263523,0.619389,0.263523,0.263523,4.226646,1.804636,1.804636,2.105688,0.145642,0.857143,0.857143,1.0,1.0,0.282957,0.75,2,True,,ORB:2026-08-03,6,0.930749,,1,1,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,SIEMENS,26,100,UP,MOVING_UP,SECONDARY,64.6958,79.451,68.828,23.1366,0.0,3799.0,3742.0,3741.7,-0.008017,1.531389,1.531389,0.753196,1.531389,1.531389,1.691064,3.411901,3.411901,16.794159,0.442068,0.409836,0.409836,1.0,0.495637,0.743633,1.0,0,True,,ORB:2026-08-03,6,2.438633,,0,2,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,SHRIRAMFIN,27,100,UP,MOVING_UP,SECONDARY,64.3716,78.4238,70.9075,20.7821,5.625,1069.9,1046.4,1058.0,1.108563,1.124764,1.124764,0.867352,1.124764,1.124764,2.436962,3.152157,3.152157,3.775193,0.352855,0.435897,0.435897,1.0,0.773109,0.782699,0.875,1,True,,ORB:2026-08-03,6,2.377261,,1,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,INDUSTOWER,28,100,DOWN,MOVING_DOWN,SECONDARY,63.7144,68.5478,97.4194,16.241,21.4975,393.4,392.7,394.0,0.331042,-0.152284,-0.152284,-0.341989,-0.152284,-0.152284,-1.45627,-0.647231,-0.647231,0.927026,0.235645,0.935484,0.935484,1.0,1.0,0.507958,1.0,0,True,,ORB:2026-08-03,6,0.696864,,1,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,LAURUSLABS,29,100,DOWN,MOVING_DOWN,SECONDARY,61.9676,73.1568,77.5901,13.7883,22.5,1813.6,1815.0,1821.0,0.330579,-0.40637,-0.40637,0.716388,-0.40637,-0.40637,2.434165,-1.396343,-1.396343,5.299559,0.292212,0.918919,0.918919,0.666667,1.0,1.022946,0.5,4,True,,ORB:2026-08-03,6,1.926377,,1,1,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,TITAN,30,100,UP,MOVING_UP,SECONDARY,61.9109,64.3392,86.5003,15.6986,4.9097,4886.3,4885.5,4875.2,-0.210828,0.227683,0.227683,0.178366,0.227683,0.227683,1.120756,1.42993,1.42993,7.76262,0.158865,0.74359,0.74359,1.0,0.783784,0.204162,1.0,0,True,,ORB:2026-08-03,6,0.778114,,0,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,360ONE,31,100,DOWN,MOVING_DOWN,SECONDARY,61.7206,69.6582,69.2488,15.6296,0.0,1141.2,1136.0,1153.6,1.549296,-1.074896,-1.074896,-0.253474,-1.074896,-1.074896,-0.934878,-3.997411,-3.997411,3.102008,0.27182,0.518519,0.518519,1.0,0.233871,0.02991,1.0,0,True,,ORB:2026-08-03,6,1.273663,,0,0,0,False,False
STOCK_RANK:20260803T093000,2026-08-03,2026-08-03 09:30:00,RADICO,32,100,UP,MOVING_UP,SECONDARY,60.8729,77.3558,61.7294,15.1525,16.875,4428.7,4348.0,4350.8,0.064397,1.790475,1.790475,0.519769,1.790475,1.790475,1.639397,5.576813,5.576813,13.968552,0.31541,0.542373,0.542373,1.0,0.293967,0.604348,0.625,3,True,,ORB:2026-08-03,6,2.016294,,0,0,0,False,False
