error_type,message,snapshot_time,stage,symbol
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,CDSL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,CDSL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,CDSL
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,CGPOWER
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,CHOLAFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,CHOLAFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,CHOLAFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,CHOLAFIN
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,COFORGE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,COFORGE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,COFORGE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,COFORGE
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,DELHIVERY
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,DELHIVERY
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,DELHIVERY
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,DELHIVERY
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,EICHERMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,EICHERMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,EICHERMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,EICHERMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,EXIDEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,EXIDEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,EXIDEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,EXIDEIND
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,FORCEMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,FORCEMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,FORCEMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,FORCEMOT
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,GLENMARK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,GLENMARK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,GLENMARK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,GLENMARK
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:15:00,SNAPSHOT_POLICY_EVALUATION,GVT&D
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:18:00,SNAPSHOT_POLICY_EVALUATION,GVT&D
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:21:00,SNAPSHOT_POLICY_EVALUATION,GVT&D
ValueError,accepted_range_established_at is required for an accepted range,2026-07-27 09:24:00,SNAPSHOT_POLICY_EVALUATION,GVT&D
