error_type,message,snapshot_time,stage,symbol
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:54:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 14:57:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:00:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:03:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:06:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:09:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:12:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:15:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:18:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 15:21:00,SNAPSHOT_POLICY_EVALUATION,NIFTY 50
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 09:57:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:00:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:03:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:06:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:09:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:12:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:30:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:33:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:36:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:39:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:42:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:45:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 10:48:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:06:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:09:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:12:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:15:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:18:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:21:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:27:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:30:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:33:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:36:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:39:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:42:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:45:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:48:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:51:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:54:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 11:57:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:00:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:03:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:06:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:09:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:12:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:15:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:18:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:21:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:24:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:36:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
ValueError,indicators.vwap.value is required and must be positive,2026-07-27 12:39:00,SNAPSHOT_POLICY_EVALUATION,NIFTY BANK
