baseline_delay_minutes,baseline_first_same_side_signal_price,baseline_first_same_side_signal_setup,baseline_first_same_side_signal_time,completed_time,confirmation_displacement_atr,confirmation_price,confirmation_reason,confirmation_time,continuation_unlocked_time,episode_id,exhausted_side,expires_at,extreme_time,final_pre_confirmation_extreme,gap_pct,initial_extreme,initial_room_qualified,initial_vwap_room_atr,initial_vwap_room_pct,initial_vwap_room_points,initiation_atr,initiation_close,initiation_time,initiation_vwap,large_gap,mae_atr,mae_pct,mae_points,mfe_atr,mfe_pct,mfe_points,move_20_bars_pct,move_3_bars_pct,move_6_bars_pct,move_9_bars_pct,reversal_failed_time,reversal_side,symbol
,,,,2026-07-27 13:45:00,1.230022299782171,305.0,STRONG_BULLISH_DISPLACEMENT_AFTER_EXHAUSTION,2026-07-27 13:30:00,,EXPERIMENT:ANGELONE:2026-07-27T13:24:00:DOWN,DOWN,2026-07-27 14:54:00,2026-07-27 13:27:00,304.3,0.6820396232543108,304.5,True,6.507110968429329,0.011891571989186688,3.6209836707073464,0.5564656401704751,304.75,2026-07-27 13:24:00,308.12098367070735,False,3.6839651040664205,0.006721311475409874,2.0500000000000114,0.9883808815788107,0.0018032786885246275,0.5500000000000114,-0.0006557377049179955,-0.0006557377049179955,0.0,-0.0022950819672130775,2026-07-27 13:36:00,BUY,ANGELONE
,,,,2026-07-27 14:06:00,0.7694292401572236,305.0,HIGHER_LOW_AND_PREVIOUS_HIGH_BREAK,2026-07-27 13:48:00,2026-07-27 13:57:00,EXPERIMENT:ANGELONE:2026-07-27T13:45:00:DOWN,DOWN,2026-07-27 15:15:00,2026-07-27 13:45:00,304.6,0.6820396232543108,304.6,True,6.121226448937074,0.010787076595567907,3.2857435310099845,0.536778627358336,304.8,2026-07-27 13:45:00,307.88574353101,False,3.8190790309382003,0.006721311475409874,2.0500000000000114,1.0246309595200205,0.0018032786885246275,0.5500000000000114,-0.0026229508196721684,-0.0022950819672130775,-0.001147540983606632,-0.000819672131147541,2026-07-27 13:54:00,BUY,ANGELONE
,,,,2026-07-27 14:27:00,0.6750647724342093,304.65,HIGHER_LOW_AND_PREVIOUS_HIGH_BREAK,2026-07-27 14:06:00,,EXPERIMENT:ANGELONE:2026-07-27T14:06:00:DOWN,DOWN,2026-07-27 15:36:00,2026-07-27 14:06:00,304.35,0.6820396232543108,304.35,True,7.059334598190891,0.01030780680920172,3.1371810023805438,0.4444018000201485,304.65,2026-07-27 14:06:00,307.48718100238057,False,3.8253670437944067,0.00558017397012962,1.6999999999999886,2.0251943173030114,0.0029542097488922834,0.9000000000000341,-0.000492368291481954,0.00032824552765476034,-0.0001641227638271936,-0.000492368291481954,2026-07-27 14:21:00,BUY,ANGELONE
,,,,2026-07-27 14:51:00,1.6928204938506881,304.95,PREVIOUS_HIGH_BREAK_AFTER_EXHAUSTION,2026-07-27 14:27:00,,EXPERIMENT:ANGELONE:2026-07-27T14:27:00:DOWN,DOWN,2026-07-27 15:57:00,2026-07-27 14:27:00,304.2,0.6820396232543108,304.2,True,7.087468015517833,0.010322437395049762,3.1400854555741375,0.4430475663098584,304.95,2026-07-27 14:27:00,307.3400854555741,False,4.514187983601835,0.006558452205279554,2.0,1.3542563950806017,0.0019675356615839407,0.6000000000000227,0.00016396130513202613,-0.0014756517461878625,-0.002459419576979833,-0.0016396130513198885,2026-07-27 14:48:00,BUY,ANGELONE
,,,,2026-07-27 15:21:00,1.017095620566266,304.45,STRONG_BULLISH_DISPLACEMENT_AFTER_EXHAUSTION,2026-07-27 14:54:00,,EXPERIMENT:ANGELONE:2026-07-27T14:48:00:DOWN,DOWN,2026-07-27 16:18:00,2026-07-27 14:54:00,304.05,0.6820396232543108,304.2,True,7.642207431660045,0.009770402912009915,2.9721565658334157,0.38891335944643446,304.25,2026-07-27 14:48:00,307.1721565658334,False,3.8569001644352023,0.004926917392018394,1.5,2.828393453919207,0.003613072754146897,1.1000000000000227,,0.0004926917392019515,0.00032846115946796764,0.0006569223189357486,2026-07-27 15:18:00,BUY,ANGELONE
,,,,,0.820502779501397,304.65,STRONG_BULLISH_DISPLACEMENT_AFTER_EXHAUSTION,2026-07-27 15:21:00,,EXPERIMENT:ANGELONE:2026-07-27T15:09:00:DOWN,DOWN,2026-07-27 16:39:00,2026-07-27 15:21:00,304.25,0.6820396232543108,304.25,True,5.071747554689514,0.008126564306244519,2.4725071901748947,0.487505965845782,304.65,2026-07-27 15:09:00,306.7225071901749,False,0.820502779501397,0.0013129821106186684,0.39999999999997726,1.8461312538783183,0.0029542097488922834,0.9000000000000341,,,,,,BUY,ANGELONE
,,,,2026-07-27 09:54:00,0.7106909362467114,2705.4,STRONG_BEARISH_DISPLACEMENT_AFTER_EXHAUSTION,2026-07-27 09:36:00,,EXPERIMENT:ASIANPAINT:2026-07-27T09:33:00:UP,UP,2026-07-27 11:03:00,2026-07-27 09:33:00,2710.8,1.265391172570566,2710.8,False,1.0231747531950135,0.002972380496989214,8.057529051238362,7.875027238580255,2709.4,2026-07-27 09:33:00,2702.742470948762,True,2.3491982236413524,0.0068381755008501514,18.5,0.24126900675236665,0.0007022991054927519,1.900000000000091,-0.0035114955274635914,-0.0011828195460929318,-0.004176831522140803,-0.0029940119760478705,2026-07-27 09:51:00,SELL,ASIANPAINT
,,,,2026-07-27 10:24:00,0.8718772776178008,2712.5,PREVIOUS_LOW_BREAK_AFTER_EXHAUSTION,2026-07-27 10:00:00,,EXPERIMENT:ASIANPAINT:2026-07-27T09:54:00:UP,UP,2026-07-27 11:24:00,2026-07-27 09:54:00,2717.8,1.265391172570566,2717.8,False,1.9638818375380764,0.004712941875379491,12.808833428906382,6.522201684477893,2716.7,2026-07-27 09:54:00,2704.991166571094,True,1.7478760319741122,0.004202764976958559,11.400000000000091,1.0732572126156745,0.0025806451612903226,7.0,-0.0016589861751152074,-0.00040552995391701717,-0.0015852534562212652,-0.0021751152073733056,2026-07-27 10:21:00,SELL,ASIANPAINT
,,,,2026-07-27 11:48:00,1.252715149465993,2717.0,LOWER_HIGH_AND_PREVIOUS_LOW_BREAK,2026-07-27 11:00:00,,EXPERIMENT:ASIANPAINT:2026-07-27T10:15:00:UP,UP,2026-07-27 11:45:00,2026-07-27 10:30:00,2722.5,1.265391172570566,2719.0,False,2.3822374317674777,0.004313782316647719,11.729174118965147,4.923595760252495,2717.7,2026-07-27 10:15:00,2707.270825881035,True,0.812414380622277,0.001472211998527788,4.0,2.3356913442890463,0.004232609495767391,11.5,0.002208317997791682,0.001214574898785492,-0.000368052999631947,0.0008097165991902165,,SELL,ASIANPAINT
,,,,2026-07-27 12:03:00,1.261044052926359,2710.1,LOWER_HIGH_AND_PREVIOUS_LOW_BREAK,2026-07-27 11:48:00,,EXPERIMENT:ASIANPAINT:2026-07-27T11:42:00:UP,UP,2026-07-27 13:12:00,2026-07-27 11:48:00,2714.8,1.265391172570566,2714.8,False,1.2344770346619958,0.0016947778296103955,4.600982851826302,3.727070429532995,2710.1,2026-07-27 11:42:00,2710.199017148174,True,2.924548973807793,0.004021991808420387,10.900000000000091,1.2342133283959147,0.001697354341168189,4.599999999999909,0.0002213940445001694,-0.0005903841186671743,0.00018449503708350246,-0.001033172207667681,2026-07-27 11:54:00,SELL,ASIANPAINT
