advisor_action,advisor_reason_codes,approved,blockers,candidate_id,index,manager_reason_codes,outcome,reason_codes,setup_family,side,snapshot_time,source_episode_id,source_event_id,source_event_type,structural_result,symbol
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:c91e30e559c61ae9e4a8e30d,366,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,SELL,2026-07-31T10:33:00+05:30,DIR:CHOLAFIN:2026-07-31:002:DOWN:102400,DIR:CHOLAFIN:2026-07-31:002:DOWN:102400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:103300,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,CHOLAFIN
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,370,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,BUY,2026-07-31T10:33:00+05:30,BAL:FORCEMOT:2026-07-31:001:NEUTRAL:100000,BAL:FORCEMOT:2026-07-31:001:NEUTRAL:100000:BALANCE_ESCAPE_STARTED:103300,BALANCE_ESCAPE_STARTED,PERMIT,FORCEMOT
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:158ac89230fbe44b1b3cdd63,373,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,BUY,2026-07-31T10:33:00+05:30,DIR:KALYANKJIL:2026-07-31:002:UP:102400,DIR:KALYANKJIL:2026-07-31:002:UP:102400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:103300,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,KALYANKJIL
,[],False,"[""STRUCTURAL_PERMISSION_BLOCK""]",,379,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",STRUCTURAL_PERMISSION_BLOCKED,"[""RECOMPRESSION_COMPLETED"", ""FRESH_DIRECTIONAL_EXPANSION_CONFIRMED""]",REACCELERATION,BUY,2026-07-31T10:36:00+05:30,DIR:BHEL:2026-07-31:003:UP:102400,DIR:BHEL:2026-07-31:003:UP:102400:DIRECTIONAL_REACCELERATION_CONFIRMED:103600,DIRECTIONAL_REACCELERATION_CONFIRMED,BLOCK,BHEL
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,384,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,BUY,2026-07-31T10:36:00+05:30,BAL:FORCEMOT:2026-07-31:001:NEUTRAL:100000,BAL:FORCEMOT:2026-07-31:001:NEUTRAL:100000:BALANCE_ESCAPE_ACCEPTED:103600,BALANCE_ESCAPE_ACCEPTED,PERMIT,FORCEMOT
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:02506b9e9c36e94d0d5e2f0e,391,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,BUY,2026-07-31T10:36:00+05:30,BAL:TCS:2026-07-31:001:NEUTRAL:100600,BAL:TCS:2026-07-31:001:NEUTRAL:100600:BALANCE_ESCAPE_STARTED:103600,BALANCE_ESCAPE_STARTED,PERMIT,TCS
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,405,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ESCAPE_FAILED_BACK_INSIDE_FROZEN_BALANCE"", ""BALANCE_REARM_REQUIRED_AFTER_FAILED_ESCAPE""]",FAILED_BREAKOUT,SELL,2026-07-31T10:39:00+05:30,BAL:TCS:2026-07-31:001:NEUTRAL:100600,BAL:TCS:2026-07-31:001:NEUTRAL:100600:BALANCE_ESCAPE_FAILED:103900,BALANCE_ESCAPE_FAILED,PERMIT,TCS
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:32b3a707960484f98d8399a7,496,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,BUY,2026-07-31T11:00:00+05:30,DIR:FORCEMOT:2026-07-31:002:UP:105400,DIR:FORCEMOT:2026-07-31:002:UP:105400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:110000,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,FORCEMOT
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,505,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,SELL,2026-07-31T11:03:00+05:30,BAL:BHEL:2026-07-31:001:NEUTRAL:101500,BAL:BHEL:2026-07-31:001:NEUTRAL:101500:BALANCE_ESCAPE_STARTED:110300,BALANCE_ESCAPE_STARTED,PERMIT,BHEL
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:dcb490f7068f3aeab3ab074f,518,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,BUY,2026-07-31T11:03:00+05:30,DIR:TORNTPHARM:2026-07-31:002:UP:105700,DIR:TORNTPHARM:2026-07-31:002:UP:105700:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:110300,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,TORNTPHARM
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,519,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T11:06:00+05:30,BAL:BHEL:2026-07-31:001:NEUTRAL:101500,BAL:BHEL:2026-07-31:001:NEUTRAL:101500:BALANCE_ESCAPE_ACCEPTED:110600,BALANCE_ESCAPE_ACCEPTED,PERMIT,BHEL
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:6e00ceac84968df1df4d7495,529,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,BUY,2026-07-31T11:06:00+05:30,BAL:PERSISTENT:2026-07-31:002:NEUTRAL:103600,BAL:PERSISTENT:2026-07-31:002:NEUTRAL:103600:BALANCE_ESCAPE_STARTED:110600,BALANCE_ESCAPE_STARTED,PERMIT,PERSISTENT
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,543,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,BUY,2026-07-31T11:09:00+05:30,BAL:PERSISTENT:2026-07-31:002:NEUTRAL:103600,BAL:PERSISTENT:2026-07-31:002:NEUTRAL:103600:BALANCE_ESCAPE_ACCEPTED:110900,BALANCE_ESCAPE_ACCEPTED,PERMIT,PERSISTENT
,[],False,"[""STRUCTURAL_PERMISSION_BLOCK""]",,597,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",STRUCTURAL_PERMISSION_BLOCKED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,BUY,2026-07-31T11:21:00+05:30,DIR:KALYANKJIL:2026-07-31:006:UP:111500,DIR:KALYANKJIL:2026-07-31:006:UP:111500:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:112100,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,BLOCK,KALYANKJIL
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:7316c4a2330c742a8803fe6c,598,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL"", ""AUTHORITATIVE_DIRECTIONAL_EVENT_GEOMETRY""]",REVERSAL,BUY,2026-07-31T11:21:00+05:30,DIR:MANAPPURAM:2026-07-31:006:UP:111200,DIR:MANAPPURAM:2026-07-31:006:UP:111200:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:112100,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,MANAPPURAM
