advisor_action,advisor_reason_codes,approved,blockers,candidate_id,index,manager_reason_codes,outcome,reason_codes,setup_family,side,snapshot_time,source_episode_id,source_event_id,source_event_type,structural_result,symbol
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,771,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,BUY,2026-07-31T12:00:00+05:30,DIR:BHEL:2026-07-31:005:UP:113300,DIR:BHEL:2026-07-31:005:UP:113300:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:120000,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,BHEL
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,772,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T12:00:00+05:30,DIR:CHOLAFIN:2026-07-31:003:UP:104500,DIR:CHOLAFIN:2026-07-31:003:UP:104500:DIRECTIONAL_TREND_RESTORED:120000,DIRECTIONAL_TREND_RESTORED,PERMIT,CHOLAFIN
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,813,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,BUY,2026-07-31T12:09:00+05:30,BAL:BHEL:2026-07-31:002:NEUTRAL:114200,BAL:BHEL:2026-07-31:002:NEUTRAL:114200:BALANCE_ESCAPE_STARTED:120900,BALANCE_ESCAPE_STARTED,PERMIT,BHEL
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,818,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,BUY,2026-07-31T12:09:00+05:30,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500:BALANCE_ESCAPE_STARTED:120900,BALANCE_ESCAPE_STARTED,PERMIT,FORCEMOT
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,827,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,BUY,2026-07-31T12:12:00+05:30,BAL:BHEL:2026-07-31:002:NEUTRAL:114200,BAL:BHEL:2026-07-31:002:NEUTRAL:114200:BALANCE_ESCAPE_ACCEPTED:121200,BALANCE_ESCAPE_ACCEPTED,PERMIT,BHEL
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,832,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ESCAPE_FAILED_BACK_INSIDE_FROZEN_BALANCE"", ""BALANCE_REARM_REQUIRED_AFTER_FAILED_ESCAPE""]",FAILED_BREAKOUT,SELL,2026-07-31T12:12:00+05:30,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500:BALANCE_ESCAPE_FAILED:121200,BALANCE_ESCAPE_FAILED,PERMIT,FORCEMOT
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,865,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T12:18:00+05:30,DIR:PERSISTENT:2026-07-31:003:UP:112100,DIR:PERSISTENT:2026-07-31:003:UP:112100:DIRECTIONAL_TREND_RESTORED:121800,DIRECTIONAL_TREND_RESTORED,PERMIT,PERSISTENT
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,870,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T12:21:00+05:30,DIR:CHOLAFIN:2026-07-31:003:UP:104500,DIR:CHOLAFIN:2026-07-31:003:UP:104500:DIRECTIONAL_TREND_RESTORED:122100,DIRECTIONAL_TREND_RESTORED,PERMIT,CHOLAFIN
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,919,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,SELL,2026-07-31T12:30:00+05:30,DIR:KALYANKJIL:2026-07-31:008:DOWN:122400,DIR:KALYANKJIL:2026-07-31:008:DOWN:122400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:123000,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,KALYANKJIL
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,935,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,BUY,2026-07-31T12:33:00+05:30,DIR:PERSISTENT:2026-07-31:003:UP:112100,DIR:PERSISTENT:2026-07-31:003:UP:112100:DIRECTIONAL_TREND_RESTORED:123300,DIRECTIONAL_TREND_RESTORED,PERMIT,PERSISTENT
BLOCK,"[""SAME_DIRECTION_EXHAUSTION""]",True,[],CAND:7d13b79c356038229e662803,964,"[""EVENT_DRIVEN_SETUP_SELECTED""]",ADVISOR_BLOCK,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,SELL,2026-07-31T12:39:00+05:30,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100:BALANCE_ESCAPE_STARTED:123900,BALANCE_ESCAPE_STARTED,PERMIT,POWERINDIA
BLOCK,"[""SAME_DIRECTION_EXHAUSTION""]",True,[],CAND:20d58dac59b67b5e84072cc3,978,"[""EVENT_DRIVEN_SETUP_SELECTED""]",ADVISOR_BLOCK,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""OUTSIDE_ACCEPTANCE_CONFIRMED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T12:42:00+05:30,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100,BAL:POWERINDIA:2026-07-31:001:NEUTRAL:095100:BALANCE_ESCAPE_ACCEPTED:124200,BALANCE_ESCAPE_ACCEPTED,PERMIT,POWERINDIA
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,978,"[""EVENT_DRIVEN_SETUP_SELECTED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_WATCH_EXPIRED_WITHOUT_CONFIRMATION""]",CONTINUATION,BUY,2026-07-31T12:42:00+05:30,DIR:POWERINDIA:2026-07-31:003:UP:100300,DIR:POWERINDIA:2026-07-31:003:UP:100300:DIRECTIONAL_TREND_RESTORED:124200,DIRECTIONAL_TREND_RESTORED,PERMIT,POWERINDIA
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,980,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,SELL,2026-07-31T12:42:00+05:30,DIR:TORNTPHARM:2026-07-31:005:DOWN:123000,DIR:TORNTPHARM:2026-07-31:005:DOWN:123000:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:124200,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,TORNTPHARM
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1012,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""RECOMPRESSION_COMPLETED"", ""FRESH_DIRECTIONAL_EXPANSION_CONFIRMED""]",REACCELERATION,BUY,2026-07-31T12:51:00+05:30,DIR:DIVISLAB:2026-07-31:005:UP:124500,DIR:DIVISLAB:2026-07-31:005:UP:124500:DIRECTIONAL_REACCELERATION_CONFIRMED:125100,DIRECTIONAL_REACCELERATION_CONFIRMED,PERMIT,DIVISLAB
BLOCK,"[""SAME_DIRECTION_EXHAUSTION"", ""MATURE_NARROW_RANGE_CHURN""]",True,[],CAND:2758e9237c15f26cfce5e84f,1113,"[""EVENT_DRIVEN_SETUP_SELECTED""]",ADVISOR_BLOCK,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,SELL,2026-07-31T13:12:00+05:30,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200:BALANCE_ESCAPE_STARTED:131200,BALANCE_ESCAPE_STARTED,PERMIT,GLENMARK
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:ccb8d7c9ac57fbb14f47bb87,1127,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""ESCAPE_FAILED_BACK_INSIDE_FROZEN_BALANCE"", ""BALANCE_REARM_REQUIRED_AFTER_FAILED_ESCAPE"", ""FAILED_ESCAPE_TO_OPPOSITE_RANGE_EDGE""]",FAILED_BREAKOUT,BUY,2026-07-31T13:15:00+05:30,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200:BALANCE_ESCAPE_FAILED:131500,BALANCE_ESCAPE_FAILED,PERMIT,GLENMARK
ALLOW,"[""ADVISOR_ALLOW""]",True,[],CAND:0d32e3ad08ef9cc69fd0369f,1151,"[""EVENT_DRIVEN_SETUP_SELECTED""]",CREATED_AFTER_REPLACEMENT,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",BREAKOUT_INITIATION,SELL,2026-07-31T13:21:00+05:30,BAL:COFORGE:2026-07-31:003:NEUTRAL:105700,BAL:COFORGE:2026-07-31:003:NEUTRAL:105700:BALANCE_ESCAPE_STARTED:132100,BALANCE_ESCAPE_STARTED,PERMIT,COFORGE
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,1165,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T13:24:00+05:30,BAL:COFORGE:2026-07-31:003:NEUTRAL:105700,BAL:COFORGE:2026-07-31:003:NEUTRAL:105700:BALANCE_ESCAPE_ACCEPTED:132400,BALANCE_ESCAPE_ACCEPTED,PERMIT,COFORGE
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1229,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,SELL,2026-07-31T13:36:00+05:30,DIR:PERSISTENT:2026-07-31:004:DOWN:132400,DIR:PERSISTENT:2026-07-31:004:DOWN:132400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:133600,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,PERSISTENT
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1230,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,SELL,2026-07-31T13:36:00+05:30,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800:BALANCE_ESCAPE_STARTED:133600,BALANCE_ESCAPE_STARTED,PERMIT,POWERINDIA
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1247,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,SELL,2026-07-31T13:42:00+05:30,DIR:BHEL:2026-07-31:009:DOWN:133000,DIR:BHEL:2026-07-31:009:DOWN:133000:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:134200,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,BHEL
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1248,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,SELL,2026-07-31T13:42:00+05:30,DIR:CHOLAFIN:2026-07-31:006:DOWN:132700,DIR:CHOLAFIN:2026-07-31:006:DOWN:132700:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:134200,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,CHOLAFIN
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1258,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ESCAPE_FAILED_BACK_INSIDE_FROZEN_BALANCE"", ""BALANCE_REARM_REQUIRED_AFTER_FAILED_ESCAPE""]",FAILED_BREAKOUT,BUY,2026-07-31T13:42:00+05:30,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800:BALANCE_ESCAPE_FAILED:134200,BALANCE_ESCAPE_FAILED,PERMIT,POWERINDIA
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,1281,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,SELL,2026-07-31T13:48:00+05:30,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200:BALANCE_ESCAPE_STARTED:134800,BALANCE_ESCAPE_STARTED,PERMIT,GLENMARK
BLOCK,"[""MATURE_NARROW_RANGE_CHURN""]",True,[],CAND:b28d4cd9ca3eeee37f3ca753,1295,"[""EVENT_DRIVEN_SETUP_SELECTED""]",ADVISOR_BLOCK,"[""AUTHORITATIVE_EVENT_ROUTE"", ""STRUCTURAL_PERMISSION_PERMIT"", ""OUTSIDE_ACCEPTANCE_CONFIRMED"", ""BALANCE_MEASURED_MOVE_REFERENCE""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T13:51:00+05:30,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200,BAL:GLENMARK:2026-07-31:001:NEUTRAL:101200:BALANCE_ESCAPE_ACCEPTED:135100,BALANCE_ESCAPE_ACCEPTED,PERMIT,GLENMARK
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,1400,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_WATCH_EXPIRED_WITHOUT_CONFIRMATION""]",CONTINUATION,SELL,2026-07-31T14:12:00+05:30,DIR:TORNTPHARM:2026-07-31:006:DOWN:130300,DIR:TORNTPHARM:2026-07-31:006:DOWN:130300:DIRECTIONAL_TREND_RESTORED:141200,DIRECTIONAL_TREND_RESTORED,PERMIT,TORNTPHARM
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1459,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,BUY,2026-07-31T14:27:00+05:30,BAL:COFORGE:2026-07-31:004:NEUTRAL:135400,BAL:COFORGE:2026-07-31:004:NEUTRAL:135400:BALANCE_ESCAPE_STARTED:142700,BALANCE_ESCAPE_STARTED,PERMIT,COFORGE
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1470,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,BUY,2026-07-31T14:27:00+05:30,DIR:TORNTPHARM:2026-07-31:007:UP:142100,DIR:TORNTPHARM:2026-07-31:007:UP:142100:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:142700,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,TORNTPHARM
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,1473,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,BUY,2026-07-31T14:30:00+05:30,BAL:COFORGE:2026-07-31:004:NEUTRAL:135400,BAL:COFORGE:2026-07-31:004:NEUTRAL:135400:BALANCE_ESCAPE_ACCEPTED:143000,BALANCE_ESCAPE_ACCEPTED,PERMIT,COFORGE
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1479,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""REVERSAL_LEG_SUSTAINED_DIRECTIONAL_PROGRESS"", ""OPPOSITE_DIRECTION_ESTABLISHED_AFTER_REVERSAL""]",REVERSAL,BUY,2026-07-31T14:30:00+05:30,DIR:KALYANKJIL:2026-07-31:013:UP:142400,DIR:KALYANKJIL:2026-07-31:013:UP:142400:DIRECTIONAL_REVERSAL_LEG_ESTABLISHED:143000,DIRECTIONAL_REVERSAL_LEG_ESTABLISHED,PERMIT,KALYANKJIL
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1496,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,SELL,2026-07-31T14:33:00+05:30,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800:BALANCE_ESCAPE_STARTED:143300,BALANCE_ESCAPE_STARTED,PERMIT,POWERINDIA
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,1510,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T14:36:00+05:30,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800,BAL:POWERINDIA:2026-07-31:002:NEUTRAL:124800:BALANCE_ESCAPE_ACCEPTED:143600,BALANCE_ESCAPE_ACCEPTED,PERMIT,POWERINDIA
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1602,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,SELL,2026-07-31T14:57:00+05:30,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500:BALANCE_ESCAPE_STARTED:145700,BALANCE_ESCAPE_STARTED,PERMIT,FORCEMOT
,[],False,"[""ENTRY_TOO_FAR_FROM_EVENT_ANCHOR""]",,1605,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ORIGINAL_DIRECTION_REESTABLISHED_AFTER_WATCH""]",CONTINUATION,SELL,2026-07-31T14:57:00+05:30,DIR:KALYANKJIL:2026-07-31:014:DOWN:144200,DIR:KALYANKJIL:2026-07-31:014:DOWN:144200:DIRECTIONAL_TREND_RESTORED:145700,DIRECTIONAL_TREND_RESTORED,PERMIT,KALYANKJIL
,[],False,"[""ENTRY_TOO_FAR_FROM_ESCAPE_BOUNDARY""]",,1616,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,SELL,2026-07-31T15:00:00+05:30,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500,BAL:FORCEMOT:2026-07-31:002:NEUTRAL:114500:BALANCE_ESCAPE_ACCEPTED:150000,BALANCE_ESCAPE_ACCEPTED,PERMIT,FORCEMOT
,[],False,"[""INSUFFICIENT_SESSION_TIME_REMAINING""]",,1651,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,BUY,2026-07-31T15:06:00+05:30,BAL:TCS:2026-07-31:001:NEUTRAL:100600,BAL:TCS:2026-07-31:001:NEUTRAL:100600:BALANCE_ESCAPE_STARTED:150600,BALANCE_ESCAPE_STARTED,PERMIT,TCS
,[],False,"[""INSUFFICIENT_SESSION_TIME_REMAINING""]",,1652,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""MEANINGFUL_CLOSE_OUTSIDE_FROZEN_BALANCE"", ""BALANCE_ESCAPE_ATTEMPT_RECORDED""]",BREAKOUT_INITIATION,BUY,2026-07-31T15:06:00+05:30,BAL:TORNTPHARM:2026-07-31:007:NEUTRAL:142100,BAL:TORNTPHARM:2026-07-31:007:NEUTRAL:142100:BALANCE_ESCAPE_STARTED:150600,BALANCE_ESCAPE_STARTED,PERMIT,TORNTPHARM
,[],False,"[""INSUFFICIENT_SESSION_TIME_REMAINING""]",,1666,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""OUTSIDE_ACCEPTANCE_CONFIRMED""]",ACCEPTED_BREAKOUT,BUY,2026-07-31T15:09:00+05:30,BAL:TORNTPHARM:2026-07-31:007:NEUTRAL:142100,BAL:TORNTPHARM:2026-07-31:007:NEUTRAL:142100:BALANCE_ESCAPE_ACCEPTED:150900,BALANCE_ESCAPE_ACCEPTED,PERMIT,TORNTPHARM
,[],False,"[""EXPECTED_FIRST_MOVE_BELOW_0_5_PERCENT""]",,1679,"[""NO_EVENT_DRIVEN_SETUP_APPROVED""]",SETUP_QUALITY_REJECTED,"[""ESCAPE_FAILED_BACK_INSIDE_FROZEN_BALANCE"", ""BALANCE_REARM_REQUIRED_AFTER_FAILED_ESCAPE""]",FAILED_BREAKOUT,SELL,2026-07-31T15:12:00+05:30,BAL:TCS:2026-07-31:001:NEUTRAL:100600,BAL:TCS:2026-07-31:001:NEUTRAL:100600:BALANCE_ESCAPE_FAILED:151200,BALANCE_ESCAPE_FAILED,PERMIT,TCS
