symbol,observations,average_rank,average_score,priority_pct,secondary_pct,suppressed_pct,moving_pct,developing_pct,range_bound_pct,neutral_pct,top25_pct,top50_pct
360ONE,58,42.4483,18.5366,15.5172,8.6207,75.8621,20.6897,10.3448,63.7931,5.1724,34.4828,67.2414
ABB,58,33.8966,22.0703,18.9655,17.2414,63.7931,20.6897,25.8621,3.4483,50.0,39.6552,75.8621
ABCAPITAL,58,29.6897,29.1318,39.6552,8.6207,51.7241,41.3793,10.3448,36.2069,12.069,53.4483,72.4138
ADANIGREEN,58,44.3448,16.1341,18.9655,8.6207,72.4138,18.9655,13.7931,6.8966,60.3448,31.0345,58.6207
ADANIPORTS,58,60.0,7.4335,6.8966,1.7241,91.3793,6.8966,5.1724,77.5862,10.3448,13.7931,29.3103
AMBER,58,48.7069,13.3997,13.7931,10.3448,75.8621,15.5172,10.3448,65.5172,8.6207,17.2414,55.1724
ANGELONE,58,55.1379,11.4134,10.3448,6.8966,82.7586,12.069,12.069,8.6207,67.2414,18.9655,41.3793
ASTRAL,58,44.0345,17.345,17.2414,6.8966,75.8621,20.6897,12.069,53.4483,13.7931,27.5862,63.7931
AUBANK,58,50.4483,18.2576,20.6897,18.9655,60.3448,25.8621,15.5172,41.3793,17.2414,32.7586,50.0
AXISBANK,58,54.2759,12.4293,12.069,12.069,75.8621,15.5172,10.3448,25.8621,48.2759,20.6897,44.8276
BAJAJ-AUTO,58,72.7586,1.5807,0.0,0.0,100.0,0.0,3.4483,74.1379,22.4138,0.0,8.6207
BAJFINANCE,58,40.6724,20.0023,17.2414,1.7241,81.0345,17.2414,5.1724,51.7241,25.8621,32.7586,62.069
BANKBARODA,58,40.5862,16.2982,12.069,17.2414,70.6897,13.7931,18.9655,18.9655,48.2759,32.7586,68.9655
BDL,58,62.8621,6.463,0.0,3.4483,96.5517,0.0,6.8966,62.069,31.0345,12.069,25.8621
BEL,58,63.3448,6.3662,1.7241,5.1724,93.1034,1.7241,6.8966,68.9655,22.4138,8.6207,32.7586
BHARATFORG,58,58.931,9.6897,10.3448,6.8966,82.7586,10.3448,12.069,0.0,77.5862,18.9655,34.4828
BHEL,58,47.7414,13.4264,13.7931,6.8966,79.3103,15.5172,6.8966,22.4138,55.1724,20.6897,58.6207
BIOCON,58,56.7931,9.0018,10.3448,1.7241,87.931,10.3448,3.4483,13.7931,72.4138,17.2414,34.4828
BLUESTARCO,58,47.569,13.1403,17.2414,1.7241,81.0345,17.2414,8.6207,18.9655,55.1724,24.1379,48.2759
BPCL,58,57.3966,10.243,5.1724,5.1724,89.6552,5.1724,8.6207,74.1379,12.069,10.3448,43.1034
BSE,58,47.5345,16.1862,17.2414,6.8966,75.8621,17.2414,8.6207,22.4138,51.7241,32.7586,50.0
CGPOWER,58,54.9138,12.4476,8.6207,8.6207,82.7586,12.069,13.7931,43.1034,31.0345,22.4138,36.2069
CHOLAFIN,58,53.4655,12.7059,5.1724,8.6207,86.2069,6.8966,8.6207,74.1379,10.3448,18.9655,44.8276
COFORGE,58,51.8621,14.0122,3.4483,5.1724,91.3793,8.6207,1.7241,63.7931,25.8621,24.1379,53.4483
