symbol,observations,average_rank,average_score,priority_pct,secondary_pct,suppressed_pct,moving_pct,developing_pct,range_bound_pct,neutral_pct,top25_pct,top50_pct
CROMPTON,58,51.1552,10.1945,8.6207,6.8966,84.4828,8.6207,10.3448,36.2069,44.8276,13.7931,48.2759
DELHIVERY,58,41.9138,16.6075,17.2414,5.1724,77.5862,18.9655,13.7931,50.0,17.2414,25.8621,62.069
DIVISLAB,58,55.1897,12.2798,10.3448,5.1724,84.4828,12.069,8.6207,62.069,17.2414,15.5172,39.6552
DLF,58,49.6207,13.2577,5.1724,13.7931,81.0345,6.8966,18.9655,62.069,12.069,22.4138,53.4483
DMART,58,56.0172,9.8487,8.6207,5.1724,86.2069,12.069,5.1724,18.9655,63.7931,12.069,39.6552
DRREDDY,58,69.6724,4.1402,3.4483,0.0,96.5517,3.4483,0.0,84.4828,12.069,8.6207,24.1379
ETERNAL,58,35.4483,21.3395,18.9655,17.2414,63.7931,18.9655,22.4138,8.6207,50.0,37.931,79.3103
FORCEMOT,58,42.5862,17.397,18.9655,10.3448,70.6897,22.4138,8.6207,44.8276,24.1379,32.7586,62.069
GLENMARK,58,35.2759,24.231,31.0345,8.6207,60.3448,31.0345,12.069,0.0,56.8966,43.1034,72.4138
GODFRYPHLP,58,41.5172,20.7599,24.1379,5.1724,70.6897,24.1379,8.6207,0.0,67.2414,32.7586,62.069
GVT&D,58,54.3966,11.6709,8.6207,1.7241,89.6552,8.6207,10.3448,15.5172,65.5172,18.9655,46.5517
HCLTECH,58,54.7414,11.3654,5.1724,5.1724,89.6552,6.8966,5.1724,20.6897,67.2414,12.069,48.2759
HDFCAMC,58,34.1034,21.5257,27.5862,17.2414,55.1724,27.5862,27.5862,6.8966,37.931,48.2759,74.1379
HINDALCO,58,63.6034,5.5497,3.4483,0.0,96.5517,3.4483,1.7241,77.5862,17.2414,13.7931,32.7586
HINDPETRO,58,59.9828,10.8787,8.6207,5.1724,86.2069,10.3448,5.1724,81.0345,3.4483,20.6897,37.931
HINDZINC,58,53.4138,13.4691,13.7931,10.3448,75.8621,15.5172,10.3448,8.6207,65.5172,24.1379,48.2759
HYUNDAI,58,63.2241,6.502,3.4483,3.4483,93.1034,3.4483,5.1724,70.6897,20.6897,8.6207,32.7586
ICICIBANK,58,64.6207,8.5601,5.1724,8.6207,86.2069,5.1724,12.069,31.0345,51.7241,17.2414,29.3103
ICICIGI,58,42.9655,17.2731,17.2414,10.3448,72.4138,18.9655,10.3448,24.1379,46.5517,29.3103,62.069
ICICIPRULI,58,61.4483,8.0267,3.4483,5.1724,91.3793,6.8966,3.4483,46.5517,43.1034,10.3448,34.4828
INDIGO,58,52.0517,13.6783,10.3448,12.069,77.5862,12.069,15.5172,63.7931,8.6207,29.3103,44.8276
INDUSINDBK,58,67.8448,4.8638,1.7241,3.4483,94.8276,3.4483,3.4483,44.8276,48.2759,5.1724,24.1379
INDUSTOWER,58,47.7759,16.7371,18.9655,8.6207,72.4138,20.6897,6.8966,34.4828,37.931,29.3103,55.1724
INFY,58,38.5172,21.6553,25.8621,8.6207,65.5172,27.5862,6.8966,60.3448,5.1724,39.6552,65.5172
JINDALSTEL,58,62.0862,8.7187,10.3448,5.1724,84.4828,12.069,3.4483,68.9655,15.5172,18.9655,34.4828
JSWENERGY,58,48.6379,15.982,17.2414,6.8966,75.8621,17.2414,10.3448,12.069,60.3448,29.3103,55.1724
JUBLFOOD,58,32.431,27.8372,34.4828,6.8966,58.6207,34.4828,13.7931,12.069,39.6552,55.1724,72.4138
KALYANKJIL,58,49.7069,12.1635,13.7931,5.1724,81.0345,15.5172,5.1724,8.6207,70.6897,20.6897,51.7241
KOTAKBANK,58,64.7586,4.1386,0.0,0.0,100.0,0.0,0.0,94.8276,5.1724,10.3448,24.1379
KPITTECH,58,39.1724,17.9859,18.9655,8.6207,72.4138,18.9655,17.2414,27.5862,36.2069,39.6552,67.2414
LAURUSLABS,58,51.4138,15.7323,17.2414,12.069,70.6897,18.9655,13.7931,17.2414,50.0,25.8621,50.0
LODHA,58,55.1379,8.9951,8.6207,1.7241,89.6552,8.6207,6.8966,39.6552,44.8276,17.2414,48.2759
LTF,58,48.0862,13.4339,13.7931,8.6207,77.5862,17.2414,8.6207,62.069,12.069,20.6897,56.8966
LTM,58,34.3966,25.8479,34.4828,8.6207,56.8966,36.2069,15.5172,20.6897,27.5862,50.0,72.4138
M&M,58,49.5,12.77,10.3448,5.1724,84.4828,10.3448,8.6207,72.4138,8.6207,22.4138,55.1724
MANAPPURAM,58,41.3966,19.6727,25.8621,12.069,62.069,25.8621,12.069,36.2069,25.8621,44.8276,56.8966
MANKIND,58,44.6379,18.7733,17.2414,15.5172,67.2414,18.9655,22.4138,13.7931,44.8276,39.6552,63.7931
MARUTI,58,50.3966,13.3317,13.7931,10.3448,75.8621,17.2414,8.6207,39.6552,34.4828,22.4138,46.5517
MAXHEALTH,58,48.069,14.8825,12.069,8.6207,79.3103,15.5172,6.8966,31.0345,46.5517,27.5862,50.0
MCX,58,44.069,15.8851,15.5172,12.069,72.4138,18.9655,12.069,13.7931,55.1724,27.5862,60.3448
MFSL,58,41.4138,19.7047,18.9655,15.5172,65.5172,20.6897,20.6897,8.6207,50.0,41.3793,60.3448
MOTILALOFS,58,66.0345,6.45,3.4483,5.1724,91.3793,6.8966,3.4483,48.2759,41.3793,5.1724,22.4138
MPHASIS,58,40.1724,20.03,25.8621,6.8966,67.2414,25.8621,12.069,37.931,24.1379,39.6552,63.7931
MUTHOOTFIN,58,54.3448,12.7415,13.7931,3.4483,82.7586,13.7931,6.8966,58.6207,20.6897,17.2414,50.0
NAM-INDIA,58,66.9483,4.8381,0.0,6.8966,93.1034,0.0,8.6207,62.069,29.3103,10.3448,27.5862
NATIONALUM,58,45.5172,15.408,20.6897,6.8966,72.4138,20.6897,8.6207,44.8276,25.8621,25.8621,55.1724
NIFTY 50,58,75.8621,3.8652,1.7241,3.4483,94.8276,1.7241,6.8966,39.6552,51.7241,5.1724,20.6897
NIFTY BANK,58,66.0517,8.7003,6.8966,6.8966,86.2069,8.6207,8.6207,36.2069,46.5517,12.069,27.5862
OFSS,58,45.069,16.4878,18.9655,6.8966,74.1379,18.9655,15.5172,15.5172,50.0,32.7586,60.3448
ONGC,58,62.3793,7.8662,5.1724,6.8966,87.931,6.8966,6.8966,36.2069,50.0,15.5172,36.2069
PATANJALI,58,49.4483,15.1781,18.9655,3.4483,77.5862,22.4138,0.0,53.4483,24.1379,22.4138,43.1034
PAYTM,58,31.1897,24.4874,25.8621,13.7931,60.3448,25.8621,20.6897,0.0,53.4483,43.1034,84.4828
PERSISTENT,58,41.1724,18.1829,18.9655,13.7931,67.2414,20.6897,22.4138,17.2414,39.6552,32.7586,65.5172
PNBHOUSING,58,42.9655,18.4968,24.1379,3.4483,72.4138,24.1379,10.3448,0.0,65.5172,36.2069,62.069
POLICYBZR,58,40.4483,17.7749,17.2414,6.8966,75.8621,17.2414,12.069,32.7586,37.931,34.4828,62.069
POLYCAB,58,50.9828,11.6074,8.6207,12.069,79.3103,10.3448,18.9655,12.069,58.6207,25.8621,50.0
POWERINDIA,58,66.2414,9.0151,10.3448,0.0,89.6552,10.3448,1.7241,56.8966,31.0345,22.4138,31.0345
PREMIERENE,58,56.2586,10.7124,10.3448,5.1724,84.4828,10.3448,8.6207,68.9655,12.069,17.2414,43.1034
PRESTIGE,58,62.569,7.6286,3.4483,5.1724,91.3793,5.1724,6.8966,65.5172,22.4138,15.5172,34.4828
RADICO,58,51.9828,8.1981,1.7241,1.7241,96.5517,3.4483,1.7241,87.931,6.8966,10.3448,44.8276
SHRIRAMFIN,58,29.931,27.0871,31.0345,13.7931,55.1724,34.4828,12.069,46.5517,6.8966,50.0,81.0345
SIEMENS,58,39.9483,20.9106,22.4138,10.3448,67.2414,24.1379,15.5172,5.1724,55.1724,34.4828,70.6897
SOLARINDS,58,55.9655,11.5387,13.7931,5.1724,81.0345,15.5172,3.4483,36.2069,44.8276,17.2414,44.8276
SRF,58,60.7069,8.4738,5.1724,3.4483,91.3793,5.1724,6.8966,65.5172,22.4138,12.069,32.7586
TATAELXSI,58,49.5862,15.649,22.4138,3.4483,74.1379,22.4138,10.3448,15.5172,51.7241,27.5862,51.7241
TCS,58,41.5172,18.5359,27.5862,3.4483,68.9655,27.5862,8.6207,18.9655,44.8276,34.4828,60.3448
TECHM,58,41.5,18.0319,18.9655,13.7931,67.2414,20.6897,20.6897,6.8966,51.7241,36.2069,60.3448
TIINDIA,58,33.5517,21.4758,18.9655,8.6207,72.4138,18.9655,22.4138,25.8621,32.7586,43.1034,77.5862
TITAN,58,72.6379,6.3703,3.4483,5.1724,91.3793,5.1724,3.4483,34.4828,56.8966,8.6207,22.4138
TMPV,58,58.9483,7.8348,3.4483,3.4483,93.1034,5.1724,5.1724,77.5862,12.069,13.7931,25.8621
TORNTPHARM,58,31.4828,24.0388,29.3103,15.5172,55.1724,32.7586,18.9655,37.931,10.3448,46.5517,81.0345
TRENT,58,48.3793,12.8184,12.069,1.7241,86.2069,12.069,6.8966,63.7931,17.2414,24.1379,50.0
TVSMOTOR,58,47.0862,14.0175,18.9655,5.1724,75.8621,18.9655,8.6207,25.8621,46.5517,31.0345,55.1724
UNOMINDA,58,49.9483,16.2227,13.7931,5.1724,81.0345,15.5172,13.7931,51.7241,18.9655,24.1379,51.7241
VEDL,58,55.2931,10.0713,6.8966,3.4483,89.6552,8.6207,3.4483,81.0345,6.8966,22.4138,41.3793
VOLTAS,58,56.069,9.1745,8.6207,6.8966,84.4828,8.6207,10.3448,0.0,81.0345,18.9655,43.1034
