auction_exhaustion_reason_codes,auction_exhaustion_started_at,baseline_delay_minutes,baseline_first_same_side_signal_price,baseline_first_same_side_signal_setup,baseline_first_same_side_signal_time,baseline_signal_id,completed_time,completion_reason,confirmation_displacement_atr,confirmation_price,confirmation_reason,confirmation_time,continuation_unlocked_time,episode_id,exhausted_side,expires_at,extreme_time,failure_candidate_time,final_pre_confirmation_extreme,gap_pct,initial_extreme,initial_room_qualified,initial_vwap_room_atr,initial_vwap_room_pct,initial_vwap_room_points,initiation_atr,initiation_close,initiation_reason_codes,initiation_time,initiation_vwap,large_gap,mae_atr,mae_pct,mae_points,maturity_qualified,maturity_reason_source,mfe_atr,mfe_pct,mfe_points,move_20_bars_pct,move_3_bars_pct,move_6_bars_pct,move_9_bars_pct,reversal_failed_time,reversal_side,sequence_number,stock_context_reason_codes,symbol
PRIOR_MOVE_EXTENDED|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 14:57:00,,,,,,,,,,,,,EXPERIMENT_V2_1:MARUTI:61:2026-07-27T15:00:00:UP,UP,2026-07-27 17:00:00,2026-07-27 15:21:00,,13746.0,1.2863409918953082,13709.0,True,5.432948272635859,0.006280851882052485,86.10419845105753,15.848521673717878,13708.0,PRIOR_MOVE_EXTENDED|PROGRESS_DECAY|REJECTION_OR_FAILED_EXTREME,2026-07-27 15:00:00,13622.895801548942,True,,,,True,AUCTION_STATE_MEMORY,,,,,,,,,SELL,61,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MARUTI
PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 09:36:00,,,,,,2026-07-27 11:24:00,REVERSAL_FAILED_WITH_ACCEPTANCE,1.4728690567811848,1103.4,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 09:39:00,2026-07-27 11:24:00,EXPERIMENT_V2_1:MAXHEALTH:1:2026-07-27T09:36:00:UP,UP,2026-07-27 11:36:00,2026-07-27 09:36:00,2026-07-27 10:00:00,1107.9,0.6575291720689144,1107.9,True,1.9215796404284615,0.005439940746074256,6.026910352575669,3.1364353710740955,1105.1,PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 09:36:00,1101.8730896474244,False,5.228865912956326,0.014863150262823874,16.399999999999864,True,AUCTION_STATE_MEMORY,2.0086497104650047,0.005709624796084993,6.300000000000182,0.002718868950516585,0.0021750951604133503,-0.002900126880550859,-0.000906289650172195,2026-07-27 11:24:00,SELL,1,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_INSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MAXHEALTH
PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 11:30:00,117.0,1098.7,REVERSAL,2026-07-27 13:39:00,42f5ef14-0a09-5003-8ead-96ee5c1855ab,2026-07-27 13:39:00,CONFIRMED_EXPIRED_UNFAILED,1.3912965947625582,1110.4,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 11:42:00,,EXPERIMENT_V2_1:MAXHEALTH:2:2026-07-27T11:36:00:UP,UP,2026-07-27 13:36:00,2026-07-27 11:39:00,,1113.5,0.6575291720689144,1112.5,True,4.090528607622917,0.008122095156144742,9.035830861211025,2.2089641041434778,1112.3,PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 11:36:00,1103.464169138789,False,4.255388298237964,0.008465417867435035,9.399999999999864,True,AUCTION_STATE_MEMORY,6.0209217411240985,0.011977665706052036,13.300000000000182,0.005493515850144215,0.0022514409221902018,0.0022514409221902018,0.002611671469740716,,SELL,2,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MAXHEALTH
CURRENT_LEG_MATURE|REJECTION_OR_FAILED_EXTREME,2026-07-27 13:33:00,,,,,,,,2.5381557920617936,1100.4,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 14:09:00,,EXPERIMENT_V2_1:MAXHEALTH:3:2026-07-27T13:51:00:DOWN,DOWN,2026-07-27 15:51:00,2026-07-27 14:00:00,,1097.1,0.6575291720689144,1097.4,True,4.595620306301831,0.005582320595064084,6.126038621023326,1.3330167012759693,1097.9,CURRENT_LEG_MATURE|REJECTION_OR_FAILED_EXTREME,2026-07-27 13:51:00,1103.5260386210234,False,1.8004275548106792,0.002181025081788523,2.400000000000091,True,AUCTION_STATE_MEMORY,14.553456068052336,0.017629952744456435,19.399999999999864,0.009723736822973297,0.001817520901490367,0.003453289712831656,0.00245365321701183,,BUY,3,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MAXHEALTH
PRIOR_MOVE_EXTENDED,2026-07-27 10:30:00,,,,,,2026-07-27 12:36:00,CONFIRMED_EXPIRED_UNFAILED,1.1609441816573114,867.7,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 10:54:00,,EXPERIMENT_V2_1:MOTILALOFS:2:2026-07-27T10:33:00:DOWN,DOWN,2026-07-27 12:33:00,2026-07-27 10:36:00,,865.3,0.25200458190149433,866.1,True,1.9562799330573444,0.00515983436108381,4.468932540134688,2.2844034049618247,866.5,PRIOR_MOVE_EXTENDED,2026-07-27 10:33:00,870.5689325401347,False,2.1230926155448766,0.0055894894548807455,4.850000000000023,True,AUCTION_STATE_MEMORY,2.7140565394593876,0.00714532672582682,6.199999999999932,0.00017287080788288262,-0.00046098882102119505,-0.0006338596289040777,0.0002304944105104665,,BUY,2,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_INSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MOTILALOFS
PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 13:48:00,,,,,,,,1.4404539928969144,864.9,LOCAL_RESISTANCE_BREAK_AFTER_EXHAUSTION,2026-07-27 13:54:00,,EXPERIMENT_V2_1:MOTILALOFS:8:2026-07-27T13:48:00:DOWN,DOWN,2026-07-27 15:48:00,2026-07-27 13:48:00,,862.85,0.25200458190149433,862.85,True,4.92063823491304,0.008059464607504344,6.954109036585123,1.4132534652200497,864.0,PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 13:48:00,869.8041090365851,False,1.1321394494163832,0.001849924846803125,1.6000000000000227,True,AUCTION_STATE_MEMORY,5.306903669139221,0.008671522719389525,7.5,0.00849809226500176,0.002196785755578653,0.002138975604116109,0.0024280263614290935,,BUY,8,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MOTILALOFS
PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 09:36:00,,,,,,2026-07-27 09:57:00,REVERSAL_FAILED_WITH_ACCEPTANCE,1.007603802482773,2347.9,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 09:45:00,2026-07-27 09:57:00,EXPERIMENT_V2_1:MPHASIS:1:2026-07-27T09:36:00:UP,UP,2026-07-27 11:36:00,2026-07-27 09:42:00,2026-07-27 09:54:00,2358.0,1.9938650306748467,2355.0,True,1.9410070704690678,0.008576723772727887,20.198184484774174,10.40603344113169,2352.4,PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 09:36:00,2334.801815515226,True,1.9796207764021554,0.008773797861919123,20.59999999999991,True,AUCTION_STATE_MEMORY,3.0270900221683577,0.013416244303420076,31.5,0.008007155330295234,-0.00609054900123503,-0.003833212658120022,-0.0018740150773031605,2026-07-27 09:57:00,SELL,1,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MPHASIS
CURRENT_LEG_MATURE|PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:45:00,,,,,,2026-07-27 12:48:00,CONFIRMED_EXPIRED_UNFAILED,2.202580228315081,3035.9,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 11:06:00,,EXPERIMENT_V2_1:MUTHOOTFIN:20:2026-07-27T10:45:00:UP,UP,2026-07-27 12:45:00,2026-07-27 10:45:00,2026-07-27 12:18:00,3049.8,1.5085484411666108,3049.8,True,2.2899094256717114,0.005120662459789718,15.616996369866683,6.819918811979066,3046.6,CURRENT_LEG_MATURE|PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:45:00,3034.1830036301335,True,3.7683733059781046,0.008465364471820487,25.699999999999818,True,AUCTION_STATE_MEMORY,2.023484498929918,0.0045456042689153734,13.800000000000182,-0.0017128363911854203,-0.0006258440660101093,-0.003689186073322513,-0.0035244902664777556,,SELL,20,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MUTHOOTFIN
CURRENT_LEG_MATURE|PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 13:09:00,,,,,,2026-07-27 15:18:00,CONFIRMED_EXPIRED_UNFAILED,2.695399239246175,3047.1,LOWER_HIGH_AND_LOCAL_SUPPORT_BREAK,2026-07-27 13:33:00,,EXPERIMENT_V2_1:MUTHOOTFIN:22:2026-07-27T13:15:00:UP,UP,2026-07-27 15:15:00,2026-07-27 13:24:00,,3061.6,1.5085484411666108,3057.0,True,4.187074205840384,0.006017470677927159,18.395407862423326,4.3933799493604155,3057.0,CURRENT_LEG_MATURE|PRIOR_MOVE_EXTENDED|PROGRESS_DECAY,2026-07-27 13:15:00,3038.6045921375767,True,1.8209214983021518,0.0026254471464671326,8.0,True,AUCTION_STATE_MEMORY,5.690379682194225,0.008204522332709789,25.0,0.005414984739588461,-0.0001640904466541958,-0.0005579075186243552,0.0010501788585867934,,SELL,22,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,MUTHOOTFIN
PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:00:00,,,,,,2026-07-27 10:48:00,REVERSAL_FAILED_WITH_ACCEPTANCE,1.424843837648573,1445.2,HIGHER_LOW_AND_LOCAL_RESISTANCE_BREAK,2026-07-27 10:09:00,2026-07-27 10:48:00,EXPERIMENT_V2_1:NESTLEIND:1:2026-07-27T10:00:00:DOWN,DOWN,2026-07-27 12:00:00,2026-07-27 10:00:00,2026-07-27 10:12:00,1441.0,0.4930213179640398,1441.0,True,3.7557929829375465,0.008444533835840418,12.168573257446042,3.239947812014001,1443.6,PRIOR_MOVE_EXTENDED|REJECTION_OR_FAILED_EXTREME,2026-07-27 10:00:00,1453.168573257446,False,3.055604773413341,0.006850262939385615,9.900000000000091,True,AUCTION_STATE_MEMORY,0.9259408404282766,0.002075837254359258,3.0,-0.0013146969277609264,-0.002421810130085801,-0.0019374481040686095,-0.0019374481040686095,2026-07-27 10:48:00,BUY,1,STOCK_CONTEXT_OBJECTIVE_SESSION_PATH|ACCEPTED_RANGE_PRESENT|PRICE_OUTSIDE_ACCEPTED_RANGE|EXHAUSTION_CONTEXT_ACTIVE,NESTLEIND
