status,run_id,trading_day,rank_time,requested_symbols,cadence_coverage,ranked_symbols,missing_symbols,failed_symbols,priority_count,secondary_count,suppressed_count,range_bound_count,moving_count,developing_count,persisted
COMPLETED,STOCK_RANK:20260805T093000,2026-08-05,2026-08-05 09:30:00,100,100,100,[],{},25,25,50,0,60,17,True
COMPLETED,STOCK_RANK:20260805T093600,2026-08-05,2026-08-05 09:36:00,100,100,100,[],{},25,25,50,1,37,30,True
COMPLETED,STOCK_RANK:20260805T094200,2026-08-05,2026-08-05 09:42:00,100,100,100,[],{},25,17,58,9,29,20,True
COMPLETED,STOCK_RANK:20260805T094800,2026-08-05,2026-08-05 09:48:00,100,100,100,[],{},21,11,68,19,21,19,True
COMPLETED,STOCK_RANK:20260805T095400,2026-08-05,2026-08-05 09:54:00,100,100,100,[],{},18,11,71,23,18,20,True
COMPLETED,STOCK_RANK:20260805T100000,2026-08-05,2026-08-05 10:00:00,100,100,100,[],{},16,9,75,22,16,17,True
COMPLETED,STOCK_RANK:20260805T100600,2026-08-05,2026-08-05 10:06:00,100,100,100,[],{},20,10,70,24,20,13,True
COMPLETED,STOCK_RANK:20260805T101200,2026-08-05,2026-08-05 10:12:00,100,100,100,[],{},13,4,83,22,13,7,True
COMPLETED,STOCK_RANK:20260805T101800,2026-08-05,2026-08-05 10:18:00,100,100,100,[],{},10,8,82,26,10,12,True
COMPLETED,STOCK_RANK:20260805T102400,2026-08-05,2026-08-05 10:24:00,100,100,100,[],{},14,3,83,32,14,8,True
COMPLETED,STOCK_RANK:20260805T103000,2026-08-05,2026-08-05 10:30:00,100,100,100,[],{},18,7,75,38,18,12,True
COMPLETED,STOCK_RANK:20260805T103600,2026-08-05,2026-08-05 10:36:00,100,100,100,[],{},12,6,82,37,12,12,True
COMPLETED,STOCK_RANK:20260805T104200,2026-08-05,2026-08-05 10:42:00,100,100,100,[],{},4,6,90,43,4,9,True
COMPLETED,STOCK_RANK:20260805T104800,2026-08-05,2026-08-05 10:48:00,100,100,100,[],{},5,1,94,44,5,4,True
COMPLETED,STOCK_RANK:20260805T105400,2026-08-05,2026-08-05 10:54:00,100,100,100,[],{},10,11,79,40,10,13,True
COMPLETED,STOCK_RANK:20260805T110000,2026-08-05,2026-08-05 11:00:00,100,100,100,[],{},6,8,86,38,6,16,True
COMPLETED,STOCK_RANK:20260805T110600,2026-08-05,2026-08-05 11:06:00,100,100,100,[],{},11,1,88,40,11,7,True
COMPLETED,STOCK_RANK:20260805T111200,2026-08-05,2026-08-05 11:12:00,100,100,100,[],{},14,4,82,45,14,5,True
COMPLETED,STOCK_RANK:20260805T111800,2026-08-05,2026-08-05 11:18:00,100,100,100,[],{},11,4,85,44,11,5,True
COMPLETED,STOCK_RANK:20260805T112400,2026-08-05,2026-08-05 11:24:00,100,100,100,[],{},5,5,90,49,5,10,True
COMPLETED,STOCK_RANK:20260805T113000,2026-08-05,2026-08-05 11:30:00,100,100,100,[],{},13,3,84,31,13,10,True
COMPLETED,STOCK_RANK:20260805T113600,2026-08-05,2026-08-05 11:36:00,100,100,100,[],{},20,8,72,35,20,14,True
